pincode,state,district,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater
770048,Odisha,Sundergarh,833,908,107,719,68,24,0
770051,Odisha,Sundergarh,1042,937,266,1830,176,8,0
770052,Odisha,Sundergarh,175,190,20,73,19,7,0
770070,Odisha,Sundargarh,1292,1172,96,692,88,12,0
770072,Odisha,Sundargarh,1552,1316,188,1452,116,4,0
770073,Odisha,Sundargarh,3624,3486,348,2730,315,18,0
770074,Odisha,Sundargarh,4832,4228,708,4170,408,72,0
770075,Odisha,Sundargarh,1176,904,88,828,88,36,0
770076,Odisha,Sundargarh,1028,1084,84,920,52,12,0
781001,Assam,Kamrup,930,886,118,1560,320,352,92
781003,Assam,Kamrup,1204,1160,160,2328,184,176,16
781004,Assam,Kamrup,110,102,18,238,44,44,24
781005,Assam,Kamrup Metro,343,371,74,634,109,175,110
781006,Assam,Kamrup,1188,960,184,2112,224,300,200
781007,Assam,Kamrup,1088,1244,288,3064,188,240,164
781008,Assam,Kamrup,844,948,180,1832,100,96,92
781009,Assam,Kamrup,1512,1100,192,2652,272,300,92
781010,Assam,Kamrup,70,22,12,120,42,6,0
781011,Assam,Kamrup,2136,1424,468,4636,380,360,112
781012,Assam,Kamrup,2964,1660,256,3876,592,480,192
781013,Assam,Kamrup,32,28,12,188,24,20,8
781014,Assam,Kamrup,364,268,88,1088,100,76,12
781015,Assam,Kamrup,724,516,96,1020,252,56,16
781016,Assam,Kamrup,1696,1236,220,2592,204,252,104
781017,Assam,Kamrup,1224,1688,140,1820,680,220,188
781018,Assam,Kamrup,1120,1024,56,1608,108,160,40
781019,Assam,Kamrup,1332,992,200,2396,296,336,324
781020,Assam,Kamrup,2520,1652,344,4120,420,536,252
781021,Assam,Kamrup,2072,1188,212,2356,220,236,72
781022,Assam,Kamrup,1132,1072,296,2568,160,152,304
781023,Assam,Kamrup,219,166,48,402,48,18,4
781024,Assam,Kamrup,624,568,68,972,108,128,92
781025,Assam,Kamrup,3076,2052,364,4084,456,588,300
781026,Assam,Kamrup,2076,2180,380,4264,416,288,84
781027,Assam,Kamrup Metro,83,82,38,243,17,18,11
781028,Assam,Kamrup,1196,1204,312,3532,168,224,232
781029,Assam,Kamrup,1968,1372,428,4908,260,284,372
781030,Assam,Kamrup,266,203,23,407,57,15,2
781031,Assam,Kamrup,284,165,20,330,40,37,10
781032,Assam,Kamrup,113,149,14,189,22,18,1
781033,Assam,Kamrup Metro,65,39,7,122,9,9,3
781034,Assam,Kamrup,1564,1308,352,3436,288,340,196
781035,Assam,Kamrup,1184,564,232,2088,164,112,40
781036,Assam,Kamrup,1240,792,148,1332,164,156,180
781037,Assam,Kamrup,1044,864,272,2024,132,96,100
781038,Assam,Kamrup,1128,1056,220,2240,396,320,224
781039,Assam,Kamrup,19,5,10,25,6,4,0
781040,Assam,Kamrup Metro,330,211,69,961,55,29,18
781101,Assam,Kamrup,598,271,65,1125,252,70,24
781102,Assam,Kamrup,2878,1096,271,3677,987,296,46
781103,Assam,Kamrup,1057,350,63,822,243,82,27
